place_id,address,category,phone_number,latitude,longitude,status,payload,name,review
JGfAK-pjP5zsRdpGqa8-nyxc,"No: 328/330, 135/136, Sheikh Memon St, Mangaldas Market, opposite Jumma Masjid",Traditional market,NA,18.9487846,72.832437,Avaliable,"{""type"":""\""Some shops can be expensive\"""",""googleUrl"":""https://www.google.com/maps/place/Kalbadevi+street+market/data=!4m7!3m6!1s0x3be7cf98fa0af019:0x17cba7cf6baa9176!8m2!3d18.9487846!4d72.832437!16s%2Fg%2F11fprw0jf0!19sChIJGfAK-pjP5zsRdpGqa8-nyxc?authuser=0&hl=en&rclk=1"",""stars"":4.2,""numberOfReviews"":903}",Kalbadevi street market,"{""rating"":""4.2 stars 903 Reviews""}"
JgaZwpRjO5zsRR_VYGkFzQfs,"173, Dr Viegas St",Clothing store,NA,18.9487355,72.8272913,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/ROYAL+SQUARE/data=!4m7!3m6!1s0x3be7ce18a570a681:0xfb4173411a58f547!8m2!3d18.9487355!4d72.8272913!16s%2Fg%2F11g9m93gbd!19sChIJgaZwpRjO5zsRR_VYGkFzQfs?authuser=0&hl=en&rclk=1"",""stars"":4.1,""numberOfReviews"":41}",ROYAL SQUARE,"{""rating"":""4.1 stars 41 Reviews""}"
JAWkQgRjO5zsRDj8-BRkgthc,"Shop No 4, 124, Dadiseth Agyari Lane",Pen store, 090494 44295,18.9499901,72.8264249,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Computer+Stationery/data=!4m7!3m6!1s0x3be7ce1881106901:0x17b62019053e3f0e!8m2!3d18.9499901!4d72.8264249!16s%2Fg%2F1tjgn1rp!19sChIJAWkQgRjO5zsRDj8-BRkgthc?authuser=0&hl=en&rclk=1"",""stars"":4.3,""numberOfReviews"":11}",Computer Stationery,"{""rating"":""4.3 stars 11 Reviews""}"
J1d4aEj3O5zsRdt1Dw43PRbQ,"Shop No #3,88, Manohar Bhavan, A Merchant Rd",Dry Fruit Store, 093230 39655,18.9515028,72.8276195,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Sapan+Papadwala+%26+General+Stores/data=!4m7!3m6!1s0x3be7ce3d121aded5:0xb445cf8dc343dd76!8m2!3d18.9515028!4d72.8276195!16s%2Fg%2F11c71gst29!19sChIJ1d4aEj3O5zsRdt1Dw43PRbQ?authuser=0&hl=en&rclk=1"",""stars"":4.3,""numberOfReviews"":436}",Sapan Papadwala & General Stores,"{""rating"":""4.3 stars 436 Reviews""}"
J7WNmId3P5zsRRtJyXbC70H4,"Soni Sadan, 437/439/441, Jagannath Shankar Seth Rd, opp. Sahyadri Bank",Grocery store,093218 42699,18.9483528,72.8259269,Avaliable,"{""type"":""NA"",""googleUrl"":""https://www.google.com/maps/place/Rajaram+Stores/data=!4m7!3m6!1s0x3be7cfdd216663ed:0x7ed0bbb05d72d246!8m2!3d18.9483528!4d72.8259269!16s%2Fg%2F11l2ctw4ht!19sChIJ7WNmId3P5zsRRtJyXbC70H4?authuser=0&hl=en&rclk=1"",""stars"":null,""numberOfReviews"":null}",Rajaram Stores,"{""rating"":""NA""}"
JA0-XGyLO5zsRqhMtV1nfx6U,"365, Kalbadevi Rd",Sweet shop, 022 2207 9343,18.9485009,72.8289888,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Agrawal+Sweets/data=!4m7!3m6!1s0x3be7ce221b974f03:0xa5c7df59572d13aa!8m2!3d18.9485009!4d72.8289888!16s%2Fg%2F11g7z518zg!19sChIJA0-XGyLO5zsRqhMtV1nfx6U?authuser=0&hl=en&rclk=1"",""stars"":3.9,""numberOfReviews"":50}",Agrawal Sweets,"{""rating"":""3.9 stars 50 Reviews""}"
JS00LZd7R5zsRStl7RiPGvu0,"310, Kalbadevi, Road, Near Kakad Market",Men's clothing store, 070215 85450,18.9493348,72.8287103,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/KDM+ETHNIC+%28naveens+nx%29/data=!4m7!3m6!1s0x3be7d1de650b4d4b:0xedbec623467bd94a!8m2!3d18.9493348!4d72.8287103!16s%2Fg%2F11bx2ljl48!19sChIJS00LZd7R5zsRStl7RiPGvu0?authuser=0&hl=en&rclk=1"",""stars"":4.2,""numberOfReviews"":81}",KDM ETHNIC (naveens nx),"{""rating"":""4.2 stars 81 Reviews""}"
Jq6qq6hjO5zsRQB5G3Gkv-9U,"426, Parekh Niwas",Computer store, 022 2205 8703,18.948969,72.825297,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Pramanik+Stores/data=!4m7!3m6!1s0x3be7ce18eaaaaaab:0xd5fb2f69dc461e40!8m2!3d18.948969!4d72.825297!16s%2Fg%2F1tdkw48k!19sChIJq6qq6hjO5zsRQB5G3Gkv-9U?authuser=0&hl=en&rclk=1"",""stars"":4.3,""numberOfReviews"":7}",Pramanik Stores,"{""rating"":""4.3 stars 7 Reviews""}"
J6UiV6n7P5zsR4xekbDdee0w,Shop No. 1,Supermarket, 090043 21641,18.9486368,72.826212,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Jagannath+Superstore/data=!4m7!3m6!1s0x3be7cf7eea9548e9:0x4c7b5e376ca417e3!8m2!3d18.9486368!4d72.826212!16s%2Fg%2F11smmjk3yk!19sChIJ6UiV6n7P5zsR4xekbDdee0w?authuser=0&hl=en&rclk=1"",""stars"":4.6,""numberOfReviews"":5}",Jagannath Superstore,"{""rating"":""4.6 stars 5 Reviews""}"
JtfkfMh_O5zsRaPb0298lb88,"WRXG+3C7, Chira Bazaar, Srikant Palekar Road",General store, 022 2209 4278,18.947668,72.826057,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Bharat+Store/data=!4m7!3m6!1s0x3be7ce1f321ff9b5:0xcf6f25dfdbf4f668!8m2!3d18.947668!4d72.826057!16s%2Fg%2F1pty2qbf8!19sChIJtfkfMh_O5zsRaPb0298lb88?authuser=0&hl=en&rclk=1"",""stars"":null,""numberOfReviews"":null}",Bharat Store,"{""rating"":""NA""}"
